Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,7171.97,3972000000.0,1.19634914373e+11,-1.53%,9.26%,-3.48%
Ethereum,ETH,333.924,771489000.0,31971220363.5,0.93%,0.69%,9.52%
Bitcoin Cash,BCH,1250.18,1298780000.0,21008243501.5,2.64%,-7.13%,100.50%
Ripple,XRP,0.210987,102709000.0,8148923559.41,-0.39%,1.40%,-0.48%
Litecoin,LTC,63.7252,214702000.0,3430919037.0,-0.21%,2.12%,2.34%
Dash,DASH,420.057,98956900.0,3230336614.56,-0.78%,-1.75%,36.75%
IOTA,MIOTA,0.697704,51186200.0,1939289396.57,1.85%,15.67%,56.17%
NEO,NEO,28.9254,46701600.0,1880151000.0,1.42%,-1.08%,0.50%
Monero,XMR,120.84,54336900.0,1855609543.34,0.18%,-2.01%,15.90%
NEM,XEM,0.195505,7729810.0,1759544999.8,-0.75%,1.36%,5.37%
Ethereum Classic,ETC,17.3484,180187000.0,1690933316.1,0.39%,0.19%,24.27%
Lisk,LSK,8.06643,56667100.0,926916818.868,-0.51%,21.09%,41.99%
Qtum,QTUM,11.6481,43793100.0,858036552.882,-0.10%,0.67%,-1.00%
Hshare,HSR,19.0603,21089300.0,805362906.991,9.16%,26.24%,83.92%
OmiseGO,OMG,7.47616,30718600.0,762886443.79,0.62%,-1.10%,4.77%
EOS,EOS,1.55538,71065800.0,744655629.325,-2.00%,8.29%,40.52%
Zcash,ZEC,279.884,82658100.0,735005121.675,-1.33%,3.22%,13.68%
Cardano,ADA,0.0272298,3772530.0,705988945.336,-1.25%,4.49%,12.16%
Stellar Lumens,XLM,0.0356802,36119900.0,632080911.95,0.74%,11.10%,12.35%
Tether,USDT,1.00387,441927000.0,596316981.885,-0.06%,-0.38%,-0.30%
BitConnect,BCC,260.773,25599000.0,557556665.116,-1.27%,3.33%,-7.88%
Waves,WAVES,4.90986,24119600.0,490986000.0,0.73%,-0.35%,15.96%
Populous,PPT,8.8456,1843560.0,364900867.218,3.03%,-5.49%,69.66%
Stratis,STRAT,3.49772,12685000.0,344955815.324,-2.94%,-1.99%,9.24%
Ark,ARK,3.06573,6988540.0,300384161.797,-1.00%,-0.74%,11.27%
Komodo,KMD,2.29294,2818200.0,231461997.699,-0.06%,6.19%,-16.51%
Steem,STEEM,0.93182,1151880.0,229554462.808,-3.05%,-0.53%,1.94%
BitShares,BTS,0.0871581,3926320.0,226788862.524,-0.64%,5.99%,31.71%
Ardor,ARDR,0.226816,1288830.0,226589069.458,-0.99%,0.42%,6.51%
Bytecoin,BCN,0.00120442,2651410.0,220714222.157,-0.47%,6.82%,-5.07%
Decred,DCR,33.7827,1292270.0,208291651.26,-0.73%,3.42%,13.48%
Augur,REP,18.7253,1213700.0,205978300.0,-0.26%,1.99%,5.34%
SALT,SALT,3.81857,4038700.0,187209076.226,-1.06%,-0.23%,18.76%
MaidSafeCoin,MAID,0.409045,1854620.0,185114301.367,1.76%,1.17%,-3.27%
Vertcoin,VTC,4.36772,9779760.0,180123680.87,5.22%,0.16%,7.61%
Golem,GNT,0.213303,2005880.0,177688224.696,1.40%,2.40%,6.54%
TenX,PAY,1.65434,2099330.0,173145391.585,-0.05%,-0.43%,-6.17%
PIVX,PIVX,3.13995,418977.0,171831377.627,-1.32%,0.12%,6.32%
Veritaseum,VERI,84.496,570990.0,171192735.498,1.11%,8.36%,24.96%
MonaCoin,MONA,3.00014,5258050.0,166045973.131,-0.39%,6.30%,10.70%
Gas,GAS,19.203,881545.0,165088870.821,-0.96%,-4.81%,-7.05%
DigixDAO,DGD,78.4151,221980.0,156830200.0,-0.64%,6.68%,19.84%
Factom,FCT,17.642,3674560.0,154281089.484,1.96%,0.64%,8.16%
Binance Coin,BNB,1.52977,7275670.0,151468646.78,0.93%,-4.53%,-20.95%
Byteball Bytes,GBYTE,234.18,526686.0,151098100.357,-0.65%,-6.37%,28.42%
TRON,TRX,0.00221024,4013550.0,145020902.515,-1.84%,-9.37%,-3.50%
Dogecoin,DOGE,0.00128938,2923460.0,144328171.626,-2.31%,10.17%,8.22%
Basic Attenti...,BAT,0.142943,2885090.0,142943000.0,2.22%,2.07%,-2.78%
Kyber Network,KNC,1.06293,2019530.0,142573667.548,-0.64%,-2.06%,0.85%
BitcoinDark,BTCD,104.549,85479.8,134749252.483,-4.44%,-6.09%,-15.55%
Siacoin,SC,0.00425415,1699360.0,131391030.24,-1.23%,3.62%,13.31%
GameCredits,GAME,2.03346,5469450.0,130864034.078,-8.42%,13.45%,10.77%
Walton,WTC,5.17442,6648490.0,128833630.207,0.93%,-0.84%,-11.37%
Metaverse ETP,ETP,3.27471,4734640.0,119124914.458,2.91%,10.61%,-1.46%
Syscoin,SYS,0.223437,2404790.0,118173043.202,0.63%,0.07%,4.67%
Blocknet,BLOCK,22.7273,197996.0,111041568.358,-1.20%,6.40%,-1.23%
Bytom,BTM,0.111123,583643.0,109678401.0,0.49%,0.39%,-13.86%
Iconomi,ICN,1.09332,583075.0,109100559.706,-0.85%,8.84%,16.11%
Raiden Networ...,RDN,2.15728,5076050.0,107864000.0,-1.33%,1.38%,128.48%
Status,SNT,0.0291398,2707990.0,101129203.486,0.19%,4.02%,-6.29%
0x,ZRX,0.200662,1572870.0,100331000.0,-1.08%,0.52%,-4.56%
Civic,CVC,0.288386,1687160.0,98829882.2,-0.22%,0.99%,-2.61%
Lykke,LKK,0.367727,176960.0,96475232.5032,-0.23%,1.94%,-1.82%
