Name,Price,URL,Image URL
Actual Size Stickers,$5.00,https://store.xkcd.com/collections/everything/products/actual-size-stickers,https//cdn.shopify.com/s/files/1/0149/3544/products/actual_size_1_medium.png?v=1479786233
Switch and Button Stickers,$5.00,https://store.xkcd.com/collections/everything/products/switch-and-button-stickers,https//cdn.shopify.com/s/files/1/0149/3544/products/stickerpack_1_medium.png?v=1479786235
Opinions Bumper Sticker,$5.00,https://store.xkcd.com/collections/everything/products/opinions-bumper-sticker,https//cdn.shopify.com/s/files/1/0149/3544/products/opinions2_medium.jpg?v=1479786237
Citation Needed Sticker Pack,$5.00,https://store.xkcd.com/collections/everything/products/citation-needed-sticker-pack,https//cdn.shopify.com/s/files/1/0149/3544/products/citation_stickers_300x300_f72b56cc-8bbe-426c-a52a-10fb939056e9_medium.png?v=1479786241
Formal Logic Bumper Sticker,$5.00,https://store.xkcd.com/collections/everything/products/formal-logic-bumper-sticker,https//cdn.shopify.com/s/files/1/0149/3544/products/formal_logic_store_1_medium.png?v=1479786243
Doughnut Mug,$7.50,https://store.xkcd.com/collections/everything/products/doughnut-mug,https//cdn.shopify.com/s/files/1/0149/3544/products/doughnut_mug_300_medium.png?v=1479786171
Move Fast and Break Things,$7.50,https://store.xkcd.com/collections/everything/products/move-fast-and-break-things,https//cdn.shopify.com/s/files/1/0149/3544/products/movefast-mug_back_grande_aa546fff-ef3d-4834-a624-4e8bcb68a41e_medium.jpg?v=1479786173
7 Button Pack,$10.00,https://store.xkcd.com/collections/everything/products/7-button-pack,https//cdn.shopify.com/s/files/1/0149/3544/products/xkcd_buttons_1_medium.jpg?v=1479786169
xkcd store gift card,from $13.00,https://store.xkcd.com/collections/everything/products/xkcd-store-gift-card,https//cdn.shopify.com/s/files/1/0149/3544/products/giftcard_medium.png?v=1479827615
Online Communities (2007) Poster,$15.00,https://store.xkcd.com/collections/everything/products/online-communities-2007-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/online_communities_1_medium.png?v=1479786198
Height Poster,$15.00,https://store.xkcd.com/collections/everything/products/height-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/height_sample_1_medium.png?v=1479786200
Gravity Wells Poster,$15.00,https://store.xkcd.com/collections/everything/products/gravity-wells-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/gravity_wells_store_1_c8544af5-2308-4ef9-abad-b62056276011_medium.png?v=1479786202
Movie Narrative Charts Poster,$15.00,https://store.xkcd.com/collections/everything/products/movie-narrative-charts-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/movie_narrative_store_1_medium.png?v=1479786204
Online Communities Poster,from $15.00,https://store.xkcd.com/collections/everything/products/online-communities-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/online_communities2_1_medium.png?v=1479786207
Money Poster,from $15.00,https://store.xkcd.com/collections/everything/products/money-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/money_store_1_fa972ce9-c535-42b2-9e04-76eade314652_medium.png?v=1479786209
Lakes & Oceans Poster,$15.00,https://store.xkcd.com/collections/everything/products/lakes-oceans-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/lakes_and_oceans_store_1_medium.png?v=1479786211
United Shapes Poster,$15.00,https://store.xkcd.com/collections/everything/products/united-shapes-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/united_shapes_1_medium.png?v=1479786214
Congress Poster,$15.00,https://store.xkcd.com/collections/everything/products/congress-poster,https//cdn.shopify.com/s/files/1/0149/3544/products/congress_1_10599aa5-cbc9-4309-b6a0-bac41287b18c_medium.png?v=1479786218
